"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"48","181.4579931763836","51.32635402124472","0.455322265625","0.3662109375","0.54443359375","1560","0.00023792028341236256","24","0.00023792028341236256","0","0.00023792028341236256","0.00023792028341236256","47:68;49:68","47:0.001770973564760664;49:0.0029180021331725037","47:0.005549831729361632;49:0.0025943033093135393","0.455322265625","Yes"
"49","155.4039107385698","30.60741504751048","0.501953125","0.431640625","0.572265625","1560","0.0020269060311236954","24","0.0020269060311236954","0","0.0020269060311236954","0.0020269060311236954","48:68;50:68;38:68","48:0.0029180021331725037;50:0.02269384120583684;38:0.016029503118666022","48:0.0025943033093135393;50:0.007228586290445316;38:0.003054696378002819","0.501953125","Yes"
"50","178.67633314006022","110.4892875888805","0.50927734375","0.14697265625","0.87158203125","1560","0.0003039610580666555","24","0.0003039610580666555","0","0.0003039610580666555","0.0003039610580666555","49:68;51:68","49:0.02269384120583684;51:0.0032853538418649297","49:0.007228586290445316;51:0.0024417513190787","0.50927734375","Yes"
"51","66.95248099075935","65.44538165311536","0.473388671875","0.35400390625","0.5927734375","1560","0.0002481152795491375","24","0.0002481152795491375","0","0.0002481152795491375","0.0002481152795491375","50:68;52:68;58:68","50:0.0032853538418649297;52:0.0021040629390748633;58:0.002627660788187991","50:0.0024417513190787;52:0.003444609270301352;58:0.002790548589904296","0.473388671875","Yes"
"52","123.34497603782218","99.66856357417802","0.499267578125","0.435546875","0.56298828125","1560","0.00036677163084602337","24","0.00036677163084602337","0","0.00036677163084602337","0.00036677163084602337","51:68;53:68","51:0.0021040629390748633;53:0.002981769243666027","51:0.003444609270301352;53:0.004898295012701198","0.499267578125","Yes"
"53","146.16531261630624","13.76058378466318","0.48486328125","0.42431640625","0.54541015625","1560","0.00017297013655327877","24","0.00017297013655327877","0","0.00017297013655327877","0.00017297013655327877","39:68;52:68;54:68","39:0.006726456919100121;52:0.002981769243666027;54:0.00509492363480582","39:0.006884684771050642;52:0.004898295012701198;54:0.003751752722164936","0.48486328125","Yes"
"54","143.99348790134357","162.26078921291074","0.479736328125","0.27587890625","0.68359375","1560","0.0006709144683271658","24","0.0006709144683271658","0","0.0006709144683271658","0.0006709144683271658","53:68;55:68","53:0.00509492363480582;55:0.002656648802108169","53:0.003751752722164936;55:0.002118638169515269","0.479736328125","Yes"
"55","192.1487655790422","164.39720034013249","0.417236328125","0.44775390625","0.38671875","1560","0.000355348865698785","24","0.000355348865698785","0","0.000355348865698785","0.000355348865698785","59:68;54:68","59:0.0023523905549629742;54:0.002656648802108169","59:0.012358552678675916;54:0.002118638169515269","0.417236328125","Yes"
"56","20.6293877985286","33.330999827812725","0.493408203125","0.27685546875","0.7099609375","1560","0.00030465658148283556","24","0.00030465658148283556","0","0.00030465658148283556","0.00030465658148283556","63:68;43:68","63:0.005061955563216203;43:0.005312040564360215","63:0.0043807671461478515;43:0.005922216142088266","0.493408203125","Yes"
"57","139.95267546696184","67.04360505122467","0.505126953125","0.35595703125","0.654296875","1560","0.0007107130701539059","24","0.0007107130701539059","0","0.0007107130701539059","0.0007107130701539059","47:68;67:68","47:0.006423496021263658;67:0.013003717478130311","47:0.0022327869721608384;67:0.004647176708702017","0.505126953125","Yes"
"58","110.62685270520937","104.68499743098776","0.520263671875","0.27587890625","0.7646484375","1560","0.0003385466649453575","24","0.0003385466649453575","0","0.0003385466649453575","0.0003385466649453575","71:68;51:68","71:0.002359681957729537;51:0.002627660788187991","71:0.003063772223725253;51:0.002790548589904296","0.520263671875","Yes"
"59","151.65329538377014","150.931771708962","0.49853515625","0.27001953125","0.72705078125","1560","0.0004179800348562061","24","0.0004179800348562061","0","0.0004179800348562061","0.0004179800348562061","55:68;75:68","55:0.0023523905549629742;75:0.0022823821197547334","55:0.012358552678675916;75:0.0032973773111551197","0.49853515625","Yes"
"60","167.33620502752132","39.731094557889804","0.487060546875","0.4970703125","0.47705078125","1560","0.0002474937884885696","24","0.0002474937884885696","0","0.0002474937884885696","0.0002474937884885696","61:68","61:0.001984399563779854","61:0.004763275960161545","0.487060546875","Yes"
"61","245.88189667356238","126.68139674219499","0.498779296875","0.49365234375","0.50390625","1560","0.00019009239951478263","24","0.00019009239951478263","0","0.00019009239951478263","0.00019009239951478263","76:68;60:68;62:68","76:0.002517969436946571;60:0.001984399563779854;62:0.0030092387524954523","76:0.0037582665665849;60:0.004763275960161545;62:0.007384003791526372","0.498779296875","Yes"
"62","142.49339192193543","38.48834582925436","0.474853515625","0.3896484375","0.56005859375","1560","0.00028025722262359074","24","0.00028025722262359074","0","0.00028025722262359074","0.00028025722262359074","61:68;63:68","61:0.0030092387524954523;63:0.0077151210377822965","61:0.007384003791526372;63:0.010372612405090964","0.474853515625","Yes"
"63","164.01244747160084","14.007444497526949","0.50244140625","0.41943359375","0.58544921875","1560","0.0005442573123838594","24","0.0005442573123838594","0","0.0005442573123838594","0.0005442573123838594","56:68;62:68;64:68","56:0.005061955563216203;62:0.0077151210377822965;64:0.044563165223763995","56:0.0043807671461478515;62:0.010372612405090964;64:0.048896784297942725","0.50244140625","Yes"
"64","153.921626686604","178.30004961747167","0.482421875","0.3828125","0.58203125","1560","0.00035578205414783646","24","0.00035578205414783646","0","0.00035578205414783646","0.00035578205414783646","65:68;63:68","65:0.002677296426924658;63:0.044563165223763995","65:0.004657466644677893;63:0.048896784297942725","0.482421875","Yes"
"65","158.34355320238578","104.19177376584136","0.49462890625","0.4970703125","0.4921875","1560","0.0005093812359327548","24","0.0005093812359327548","0","0.0005093812359327548","0.0005093812359327548","64:68;66:68;77:68","64:0.002677296426924658;66:0.0025340406375433944;77:0.0034917956691545016","64:0.004657466644677893;66:0.005302945537376036;77:0.0037708032694146187","0.49462890625","Yes"
"66","114.32642379031053","16.55216872163793","0.5048828125","0.40234375","0.607421875","1560","0.00027455231437316716","24","0.00027455231437316716","0","0.00027455231437316716","0.00027455231437316716","65:68;67:68","65:0.0025340406375433944;67:0.0031884426110939112","65:0.005302945537376036;67:0.003798123243630186","0.5048828125","Yes"
"67","167.6494182395423","56.81746734847789","0.49462890625","0.3994140625","0.58984375","1560","0.00041521582834032046","24","0.00041521582834032046","0","0.00041521582834032046","0.00041521582834032046","68:68;57:68;66:68","68:0.004774282722328882;57:0.013003717478130311;66:0.0031884426110939112","68:0.003195087896310761;57:0.004647176708702017;66:0.003798123243630186","0.49462890625","Yes"
"68","114.98638393851584","97.62508394940156","0.449462890625","0.3994140625","0.49951171875","1560","0.0007548451486132857","24","0.0007548451486132857","0","0.0007548451486132857","0.0007548451486132857","67:68;69:68","67:0.004774282722328882;69:0.004074773386878866","67:0.003195087896310761;69:0.003675180558167346","0.449462890625","Yes"
"69","174.25870968445656","90.27627202215662","0.494384765625","0.50439453125","0.484375","1560","0.00025980400416424694","24","0.00025980400416424694","0","0.00025980400416424694","0.00025980400416424694","78:68;68:68;70:68","78:0.0031099621911997166;68:0.004074773386878866;70:0.004452220246199318","78:0.0025700898449769194;68:0.003675180558167346;70:0.007481514810160572","0.494384765625","Yes"
"70","137.67721464946666","95.54385698763373","0.50537109375","0.36572265625","0.64501953125","1560","0.00027793408934567607","24","0.00027793408934567607","0","0.00027793408934567607","0.00027793408934567607","69:68;71:68","69:0.004452220246199318;71:0.0032163530370110938","69:0.007481514810160572;71:0.003727936374335078","0.50537109375","Yes"
