"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"72","442.6654710274086","255.37230926156272","0.3572998046875","0.305908203125","0.40869140625","2400","0.0003601488733390006","32","0.0003601488733390006","0","0.0003601488733390006","0.0003601488733390006","73:0.0024221512130838674;62:0.01730745083767435;82:0.0026776445395049198;71:0.0021569517391345217","73:128;62:128;82:188;71:128","0.3572998046875","Yes"
"73","95.66216393635415","205.48845339505917","0.43212890625","0.045654296875","0.818603515625","2400","0.0002181730077770463","32","0.0002181730077770463","0","0.0002181730077770463","0.0002181730077770463","72:0.0024221512130838674;74:0.006861542917418889;83:0.0021218146049317987;63:0.0035921217458358135","72:128;74:288;83:168;63:148","0.43212890625","Yes"
"74","91.99928038035127","291.4255655426018","0.2308349609375","0.16943359375","0.292236328125","2400","0.00019351439973432118","32","0.00019351439973432118","0","0.00019351439973432118","0.00019351439973432118","73:0.006861542917418889;75:0.029047072343471758;84:0.004240358455992771;64:0.008375283541633749","73:288;75:128;84:168;64:208","0.2308349609375","Yes"
"75","459.5656457346604","231.48387136796717","0.5174560546875","0.228759765625","0.80615234375","2400","0.0005047257921540055","32","0.0005047257921540055","0","0.0005047257921540055","0.0005047257921540055","74:0.029047072343471758;76:0.004452837542576499;85:0.00236312601742239;65:0.0027499846440278697","74:128;76:148;85:128;65:208","0.5174560546875","Yes"
"76","374.65074203067525","258.38697007904653","0.28759765625","0.185302734375","0.389892578125","2400","0.0003341640015223726","32","0.0003341640015223726","0","0.0003341640015223726","0.0003341640015223726","75:0.004452837542576499;77:0.001958102859266342;66:0.004432635883923924;86:0.003121324587532781","75:148;77:148;66:228;86:168","0.28759765625","Yes"
"77","409.27019707820625","252.5083478057881","0.4375","0.208251953125","0.666748046875","2400","0.00015080245022030747","32","0.00015080245022030747","0","0.00015080245022030747","0.00015080245022030747","67:0.0019711945537082;78:0.0024361250753981434;87:0.0020006592162297165;76:0.001958102859266342","67:208;78:208;87:248;76:148","0.4375","Yes"
"78","285.0178923827889","255.49255955938435","0.3446044921875","0.14990234375","0.539306640625","2400","0.00038034630494607956","32","0.00038034630494607956","0","0.00038034630494607956","0.00038034630494607956","77:0.0024361250753981434;79:0.0023952576814583737;88:0.005071441071352906;68:0.010643979933697617","77:208;79:288;88:268;68:228","0.3446044921875","Yes"
"79","444.5142755069675","346.7344617069582","0.496826171875","0.2685546875","0.72509765625","2400","0.00019253468516705518","32","0.00019253468516705518","0","0.00019253468516705518","0.00019253468516705518","78:0.0023952576814583737;89:0.0032628831650512446;69:0.010707297203483124","78:288;89:68;69:188","0.496826171875","Yes"
"80","384.25394822767873","319.9737575601526","0.01611328125","0.017822265625","0.014404296875","2400","0.00022163222518603633","32","0.00022163222518603633","0","0.00022163222518603633","0.00022163222518603633","81:0.0015762672507236841;90:0.0034831414555871465;70:0.003217028174424319","81:128;90:88;70:208","0.01611328125","Yes"
"81","365.7039965208832","248.25083728929712","0.010009765625","0.0107421875","0.00927734375","2400","0.00015611655588977408","32","0.00015611655588977408","0","0.00015611655588977408","0.00015611655588977408","80:0.0015762672507236841;82:0.0025401866206425094;71:0.002711334165484691;91:0.0011396451496362148","80:128;82:68;71:208;91:88","0.010009765625","Yes"
"82","152.20665733249663","146.99796620931775","0.0152587890625","0.02734375","0.003173828125","2400","0.00021050760014338325","32","0.00021050760014338325","0","0.00021050760014338325","0.00021050760014338325","72:0.0026776445395049198;81:0.0025401866206425094;83:0.0024021561414864223;92:0.0025047477653632466","72:188;81:68;83:68;92:168","0.0152587890625","Yes"
"83","338.9356312743138","310.50959887723513","0.0526123046875","0.042724609375","0.0625","2400","0.00020046872757474238","32","0.00020046872757474238","0","0.00020046872757474238","0.00020046872757474238","73:0.0021218146049317987;82:0.0024021561414864223;84:0.007689080870114218;93:0.012680328228922427","73:168;82:68;84:168;93:128","0.0526123046875","Yes"
"84","258.4693068840171","196.6355352053372","0.017333984375","0.027587890625","0.007080078125","2400","0.00025338106603964815","32","0.00025338106603964815","0","0.00025338106603964815","0.00025338106603964815","74:0.004240358455992771;83:0.007689080870114218;85:0.0034969703149652642;94:0.005266119818406856","74:168;83:168;85:148;94:208","0.017333984375","Yes"
"85","334.1535239239613","238.02093869615163","0.0218505859375","0.02197265625","0.021728515625","2400","0.0002752649191403276","32","0.0002752649191403276","0","0.0002752649191403276","0.0002752649191403276","86:0.002593481724081359;75:0.00236312601742239;95:0.0033548237536006054;84:0.0034969703149652642","86:168;75:128;95:188;84:148","0.0218505859375","Yes"
